Validation ppl,Baseline,Prenorm,Postnorm
500,56.61,44.79323,41.49639
1000,49.93,30.79974,30.25
1500,45.33,26.41586,27.06076
2000,35.25,23.68943,24.85031
2500,28.44,21.88512,23.68711
3000,25.79,20.49463,22.46734
3500,23.77,19.21546,21.70393
4000,22.4,18.15062,20.92932
4500,21.26,17.1923,20.55345
5000,19.87,16.06439,20.02792
5500,18.8,14.8021,19.39454
6000,17.61,13.68496,19.1019
6500,16.55,12.97006,18.50464
7000,15.42,12.23256,18.37313
7500,14.26,11.73162,18.12414
8000,13.3,11.37187,17.75393
8500,12.62,11.01163,17.36396
9000,12.25,10.99597,17.38942
9500,11.83,10.69122,17.13064
10000,11.48,10.53056,17.28707
10500,11.19,10.33996,16.76832
11000,10.82,10.17937,16.62979
11500,10.69,9.92662,16.30723
12000,10.58,9.90893,16.04231
12500,10.41,9.77588,15.81836
13000,10.24,9.78492,15.63517
13500,10.05,9.50283,15.14064
14000,9.97,9.49987,14.8371
14500,9.84,9.31701,14.36978
15000,9.75,9.28372,13.88344
15500,9.6,9.24769,13.50285
16000,9.41,9.03351,12.80649
16500,9.42,9.07621,12.76762
17000,9.41,8.97144,12.31856
17500,9.3,8.94432,11.9117
18000,9.22,8.92687,11.64565
18500,9.25,8.87412,11.53703
19000,9.12,8.78365,11.25571
19500,8.97,8.63794,10.90963
20000,8.92,8.50894,10.65238
20500,8.92,8.62165,10.58103
21000,8.95,8.60801,10.58227
21500,8.92,8.55788,10.3867
22000,8.86,8.48523,10.25957
22500,8.81,8.53268,10.29273
23000,8.75,8.44208,10.0958
23500,8.7,8.42932,10.05661
24000,8.66,8.40639,9.91272
24500,8.59,8.37153,9.83123
25000,8.68,8.34586,9.91557
25500,8.63,8.35611,9.75054
26000,8.57,8.31569,9.62894
26500,8.65,8.25379,9.60422
27000,8.55,8.33411,9.58009
27500,8.53,8.2789,9.5784
28000,8.42,8.17594,9.38205
28500,8.41,8.18176,9.31035
29000,8.38,8.20036,9.2951
29500,8.44,8.27845,9.33823
30000,8.44,8.1612,9.27352
30500,8.39,8.14844,9.34207
31000,8.34,8.07269,9.15693
31500,8.39,8.14249,9.09832
32000,8.23,8.03327,9.01874
32500,8.19,8.05828,8.99543
33000,8.33,8.08237,9.0223
33500,8.33,8.06309,8.98968
34000,8.33,8.0653,9.00529
34500,8.27,8.05166,8.97531
35000,8.24,7.99358,8.86515
35500,8.2,7.93961,8.86962
36000,8.12,7.91753,8.78334
36500,8.11,7.89211,8.80225
37000,8.25,8.02859,8.82989
37500,8.27,7.97186,8.89586
38000,8.13,7.87164,8.6967
38500,8.23,7.92799,8.70329
39000,8.1,7.91135,8.63386
39500,8.11,7.93361,8.60631
40000,8.15,7.88182,8.53848
40500,8.01,7.82773,8.59047
